데이터기준일자,전화번호,대표자명,홈페이지주소,휴무일,공휴일운영종료시각,공휴일운영시작시각,주말운영종료시각,주말운영시작시각,평일운영종료시각,평일운영시작시각,수입차요금,레저용차요금,승합차요금,대형차요금,중형차요금,소형차요금,경차요금,전기승합자동차보유대수,전기승용자동차보유대수,승합차보유대수,승용차보유대수,자동차총보유대수,보유차고지수용능력,차고지지번주소,차고지도로명주소,경도,위도,소재지지번주소,소재지도로명주소,사업장구분,업체명,제공기관코드,제공기관명
2019-09-10,032-324-8885,김민곤,,없음,00:00,00:00,00:00,00:00,18:00,09:00,150000,0,100000,80000,60000,50000,40000,0,0,1,49,50,50,,서울특별시 강서구 마곡서로 101(동익드미라벨 주차타워),126.750689,37.5071995,,경기도 부천시 길주로77번길 55-25,주사업장,㈜마이카렌트카,3860000,경기도 부천시
2019-09-10,032-676-8340,이상래,,없음,20:00,09:00,20:00,09:00,20:00,09:00,0,0,130000,130000,80000,70000,60000,0,0,7,168,175,175,,경기도 부천시 상동로 84 외,126.7910101,37.5202524,,경기도 부천시 삼작로 265,주사업장,㈜케이렌트카,3860000,경기도 부천시
2019-09-10,032-613-3303,조근배,,없음,18:00,09:00,18:00,09:00,18:00,09:00,0,0,120000,120000,80000,60000,50000,0,0,5,166,171,171,,서울특별시 양천구 곰달래로3길13(신월동)마을마당공영주차장 외,126.7659619141,37.4917985689,,경기도 부천시 중동로 107,주사업장,㈜에이스렌트카,3860000,경기도 부천시
2019-09-10,032-329-1544,서영수,,없음,17:00,08:30,17:00,08:30,18:30,08:30,0,0,157500,186900,119000,70000,66500,0,0,0,72,72,72,,경기도 부천시 상동 545-13 (상록복합타워 상록주차장),126.779396,37.495525,,"경기도 부천시 옥산로 7, B동234호(중동,리첸시아)",주사업장,㈜카이스트,3860000,경기도 부천시
2019-09-10,032-675-1471,김용진,,없음,20:30,08:30,20:30,08:30,20:30,08:30,0,0,115000,115000,80000,60000,45000,0,0,7,150,157,157,,경기도 부천시 신흥로413번길 18 외,126.774735,37.518799,,경기도 부천시 신흥로 393번길 10(내동),주사업장,㈜하나렌트카,3860000,경기도 부천시
2019-09-30,02-2231-3736,,,,,,,,18:00,09:00,,,,,,,,0,0,141,4875,5016,,,서울특별시 중구 퇴계로90길 17,126.9884227638,37.5675013119,,서울특별시 중구 청계천로 100,주사업장,㈜조이렌트카,3010000,서울특별시 중구
2019-09-30,02-2256-5555,,,,,,,,18:00,09:00,,,,,,,,0,0,11,92,103,,,서울특별시 강남구 대치동 1000-4.5,127.0169482,37.5647291990,,서울특별시 중구 다산로42길 12,주사업장,㈜블루렌트카,3010000,서울특별시 중구
2019-09-30,02-6460-0711,,,,,,,,18:00,09:00,,,,,,,,0,0,212,2991,3203,,,서울특별시 마포구 신수동 448-15,126.9813652415,37.5630639040,,서울특별시 중구 남대문로 63,주사업장,㈜한진,3010000,서울특별시 중구
2020-01-09,063-653-7240,조규백,,,,,,,19:00,09:00,,,,,,,,0,0,2,6,8,13,전라북도 순창군 순창읍 복실리 280-2,전라북도 순창군 순창읍 신기길 31-3,127.1403049,35.3878719,전라북도 순창군 순창읍 복실리 280-2,전라북도 순창군 순창읍 신기길 31-3,영업소,뉴드림렌터카,4770000,전라북도 순창군
2020-01-09,063-652-2882,방봉선,,,,,,,19:00,09:00,,,,,,,,0,0,4,5,9,14,전라북도 순창군 순창읍 남계리 135-1,전라북도 순창군 순창읍 담순로 1421,127.1509592,35.37752958,전라북도 순창군 순창읍 남계리 135-1,전라북도 순창군 순창읍 담순로 1421,영업소,아이렌터카,4770000,전라북도 순창군
2019-05-28,070-7775-6700,,,,,,,,24:00,00:00,,,,,,,,0,0,36,14,50,,,경기도 하남시 신평로 84,127.2247522666,37.5340664008,경기도 하남시 창우동 200-4,경기도 하남시 천현로 146-1,주사업장,㈜애드플레이,4040000,경기도 하남시
2019-05-28,031-793-6766,,,,,,,,24:00,00:00,,,,,,,,0,0,3,36,39,,,경기도 하남시 신평로 84,127.2160018869,37.5411033118,경기도 하남시 신장동 523-1,경기도 하남시 대청로 33,주사업장,㈜알씨렌트카,4040000,경기도 하남시
2019-05-28,1661-1157,,,,,,,,24:00,00:00,,,,,,,,0,0,1,49,50,,,경기도 하남시 신평로 84,127.2069681571,37.5412059863,경기도 하남시 신장동 415-10,경기도 하남시 하남대로 815,주사업장,㈜스마트렌트카,4040000,경기도 하남시
2019-03-04,02-2140-5000,권남회,http://www.nhnetworks.co.kr,근무안함(전화업무만),00:00,00:00,17:00,08:00,19:00,08:00,00,00,00,00,00,00,00,00,00,22,13,35,1105,서울특별시 서초구 양재동 222,서울특별시 서초구 양재대로12길 18,126.968785,37.562314,서울특별시 서대문구 미근동 267 NH농협생명빌딩 서관 10층,"서울특별시 서대문구 통일로 81, 서관 10층(미근동, NH농협생명빌딩)",영업소,㈜농협네트웍스,3120000,서울특별시 서대문구
2019-03-04,02-1588-7905,김영만,http://www.odigarentcar.com/kr/,명절/추석,22:00,08:00,22:00,08:00,20:00,08:00,00,00,00,00,00,00,00,00,00,03,62,65,410,서울특별시 서대문구 청파동3가 118-102,서울특별시 서대문구 원효로 97길 50,126.968751,37.562350,서울특별시 서대문구 대현동 104-6,서울특별시 서대문구 신촌역로7,영업소,어디가렌트카,3120000,서울특별시 서대문구
2019-03-04,02-1588-7905,김영만,http://www.odigarentcar.com/kr/,명절/추석,22:00,08:00,22:00,08:00,20:00,08:00,00,00,00,00,00,00,00,00,00,00,0,0,300,서울특별시 서대문구 대현동 104-25,서울특별시 서대문구 연세로2다길 68,126.968751,37.562350,서울특별시 서대문구 대현동 104-6,서울특별시 서대문구 신촌역로7,영업소,어디가렌트카,3120000,서울특별시 서대문구
2019-03-04,02-1588-2204,최재현,www.rentcarplus.co.kr,명절 당일,20:00,09:30,20:00,09:30,20:00,09:00,00,00,00,00,00,00,00,00,00,00,37,37,330,서울특별시 서초구 방배동 1102번 산 195번지,서울특별시 서초구 명달로 45,126.941788,37.556831,서울특별시 서대문구 대현동 104-47,서울특별시 서대문구 신촌로 143-3,영업소,㈜제이앤제이렌트카,3120000,서울특별시 서대문구
2019-03-04,02-1588-2204,최재현,www.rentcarplus.co.kr,명절 당일,20:00,09:30,20:00,09:30,20:00,09:00,00,00,00,00,00,00,00,00,00,00,56,56,500,서울특별시 중구 중림동 150-1,서울특별시 중구 중림로 31,126.941788,37.556831,서울특별시 서대문구 대현동 104-47,서울특별시 서대문구 신촌로 143-3,영업소,㈜제이앤제이렌트카,3120000,서울특별시 서대문구
2019-03-04,02-1588-2204,최재현,www.rentcarplus.co.kr,명절 당일,20:00,09:30,20:00,09:30,20:00,09:00,00,00,00,00,00,00,00,00,00,02,19,21,114,"서울특별시 서대문구 대현동 104-40, 46-62",서울특별시 서대문구 신촌로 143-3,126.941788,37.556831,서울특별시 서대문구 대현동 104-47,서울특별시 서대문구 신촌로 143-3,영업소,㈜제이앤제이렌트카,3120000,서울특별시 서대문구
2019-03-04,02-418-3534,권영호,없음,상시,23:59,00:00,23:59,00:00,23:59,00:00,00,00,00,00,00,00,00,00,00,03,16,19,318.4,"서울특별시 서대문구 북가좌동 337-17 외3필지(32,33,34)","서울특별시 서대문구 북가좌동 337-17 외3필지(32,33,34)",126.914090,37.584323,서울특별시 서대문구 북가좌동 334-5,서울특별시 서대문구 응암로 131,영업소,하나로렌터카㈜,3120000,서울특별시 서대문구
2019-03-04,02-365-3311,양재근,www.newksrent.com,토요일일요일공휴일,00:00,00:00,00:00,00:00,18:00,09:00,00,00,00,00,00,00,00,00,00,01,25,26,350,서울특별시 송파구 가락동 95-6,서울특별시 송파구 가락동 95-6,126.958422,37.570089,서울특별시 서대문구 영천동 100 독립문삼호아파트상가 103호,"서울특별시 서대문구 독립문로 10, 103호(영천동 독립문삼호아파트상가)",영업소,뉴경성렌트카,3120000,서울특별시 서대문구
2019-03-04,02-365-3311,양재근,www.newksrent.com,토요일일요일공휴일,00:00,00:00,00:00,00:00,18:00,09:00,00,00,00,00,00,00,00,00,00,05,45,50,700,서울특별시 도봉구 창동 330(창동역주차장),서울특별시 도봉구 노해로 65길 17-6(창동역주차장),126.958422,37.570089,서울특별시 서대문구 영천동 100 독립문삼호아파트상가 103호,"서울특별시 서대문구 독립문로 10, 103호(영천동 독립문삼호아파트상가)",영업소,뉴경성렌트카,3120000,서울특별시 서대문구
2019-03-04,02-365-3311,양재근,www.newksrent.com,토요일일요일공휴일,00:00,00:00,00:00,00:00,18:00,09:00,00,00,00,00,00,00,00,00,00,60,64,124,2650,서울특별시 송파구 방이동 52-1(방이동주차장),서울특별시 송파구 백재고분로 481(방이동주차장),126.958422,37.570089,서울특별시 서대문구 영천동 100 독립문삼호아파트상가 103호,"서울특별시 서대문구 독립문로 10, 103호(영천동 독립문삼호아파트상가)",영업소,뉴경성렌트카,3120000,서울특별시 서대문구
2019-03-04,02-1670-7788,이봉학,http://www.8seasonrentcar.com/,근무안함(전화업무만),00:00,00:00,17:00,08:00,19:00,08:00,00,00,00,00,00,00,00,00,00,09,84,93,390,서울특별시 중랑구 면목동 183-14,서울특별시 중랑구 동일로109길 35 면목주차장,126.960360,37.564232,서울특별시 서대문구 충정로3가 3-90,"서울특별시 서대문구 경기대로9길 67, 101호",영업소,포시즌렌트카,3120000,서울특별시 서대문구
2019-03-04,02-1670-7788,이봉학,http://www.7seasonrentcar.com/,근무안함(전화업무만),00:00,00:00,17:00,08:00,19:00,08:00,00,00,00,00,00,00,00,00,00,01,31,32,130,서울특별시 중랑구 면목동 183-14,서울특별시 중랑구 동일로109길 35 면목주차장,126.960360,37.564232,서울특별시 서대문구 충정로3가 3-90,"서울특별시 서대문구 경기대로9길 67, 101호",영업소,포시즌렌트카,3120000,서울특별시 서대문구
2019-03-04,02-1670-7788,이봉학,http://www.6seasonrentcar.com/,근무안함(전화업무만),00:00,00:00,17:00,08:00,19:00,08:00,00,00,00,00,00,00,00,00,00,01,31,32,130,서울특별시 서초구 양재동 225-5 양재주차장,서울특별시 서초구 양재동 225-5,126.960360,37.564232,서울특별시 서대문구 충정로3가 3-90,"서울특별시 서대문구 경기대로9길 67, 101호",영업소,포시즌렌트카,3120000,서울특별시 서대문구
2019-06-20,02-1599-2924,,,,,,,,23:59,00:00,,,,,,,,0,0,78,4,82,,,서울특별시 서초구 명달로45 (방배동),127.075141,37.621287,,서울특별시 노원구 동일로 178길 10 201호(공릉동),주사업장,인천공항렌트카㈜,3100000,서울특별시 노원구
2019-06-20,02-1588-1517,,,,,,,,23:59,00:00,,,,,,,,0,0,1,51,52,,,서울특별시 서초구 명달로45 (방배동),127.053351,37.678559,,"서울특별시 노원구 동일로243길 29, 내제1호 3층 301호 (상계동)",주사업장,에이지렌트카㈜,3100000,서울특별시 노원구
2019-06-20,02-1577-7593,,,,,,,,23:59,00:00,,,,,,,,0,0,2,60,62,,,서울특별시 노원구 상계로10길 14,127.068288,37.655262,,"서울특별시 노원구 노원로 428, 202호 (상계동,상계2차중앙하이츠아파트상가)",주사업장,e-토이렌트카,3100000,서울특별시 노원구
2019-06-20,02-3292-1124,,,,,,,,23:59,00:00,,,,,,,,0,0,0,129,129,,,서울특별시 서초구 명달로45 (방배동),127.057615,37.629224,,"서울특별시 노원구 월계로 334, 318호(월계동, 그랑디오피스텔)",주사업장,에이티렌터카㈜,3100000,서울특별시 노원구
2019-06-20,02-932-2501,,,,,,,,23:59,00:00,,,,,,,,0,0,4,70,74,,,서울특별시 용산구 후암로28길 21,127.072895,37.659246,,"서울특별시 노원구 한글비석로 383, 117호(중계동,삼창타워프라자)",주사업장,㈜뉴스마일렌트카,3100000,서울특별시 노원구
2019-06-20,02-973-2222,,,,,,,,23:59,00:00,,,,,,,,0,0,9,74,83,,,서울특별시 동대문구 청계천로 525,127.075285,37.619789,,"서울특별시 노원구 동일로 1002, 202호 (공릉동)",주사업장,㈜크라운렌트카,3100000,서울특별시 노원구
2019-06-20,02-3391-8240,,,,,,,,23:59,00:00,,,,,,,,0,0,10,46,56,,,서울특별시 중랑구 사가정로 332,127.075168,37.660715,,서울특별시 노원구 덕릉로 703(중계동),주사업장,㈜새롬오토랜드,3100000,서울특별시 노원구
2019-06-20,02-990-2346,,,,,,,,23:59,00:00,,,,,,,,0,0,20,306,326,,,서울특별시 노원구 월계동 411-34,127.061664,37.621774,,서울특별시 노원구 월계동 411-34,주사업장,케이비오토렌트매니지먼트㈜,3100000,서울특별시 노원구
2019-06-20,02-953-8888,,,,,,,,23:59,00:00,,,,,,,,0,0,3,65,68,,,"서울특별시 양천구 중앙로29길 41 (신정동,다락골공영주차장)",127.075948,37.618437,,"서울특별시 노원구 동일로 986,102동 210호(공릉동, 프레미어스엠코)",주사업장,㈜허니문렌트카,3100000,서울특별시 노원구
2019-06-17,1577-2254,박문호,0,0,00:00,00:00,00:00,00:00,00:00,00:00,0,0,0,0,0,0,0,0,0,6,50,56,121,"강원도 태백시 황지북3길 7, 246-7, 10-1, 10-7강원도 태백시 태백로 748","강원도 태백시 황지북3길 7, 246-7, 10-1, 10-7강원도 태백시 태백로 748",128.989844,37.174721,강원도 태백시 황지로 186,강원도 태백시 황지로 186,주사업장,해피관광렌터카,4220000,강원도 태백시
2019-06-17,033-553-9766,박영남,0,0,00:00,00:00,00:00,00:00,00:00,00:00,0,0,0,0,0,0,0,0,0,6,71,77,104,강원도 태백시 동점동 300-1강원도 태백시 서황지로 74강원도 태백시 황지동 146-20,강원도 태백시 동점동 300-1강원도 태백시 서황지로 74강원도 태백시 황지동 146-20,128.992243,37.176784,강원도 태백시 황지동 20-1,강원도 태백시 태백로 913,주사업장,건아통운렌터카,4220000,강원도 태백시
2019-08-30,032-572-2288,,,일,,,17:30,08:30,17:30,08:30,,,,,,,,0,0,2,52,54,,,인천광역시 서구 가좌로83번길 22,126.675313,37.5010620,,인천광역시 서구 석남로 121,주사업장,㈜신현대렌트카,3560000,인천광역시 서구
2019-08-30,032-573-0666,,,일,,,16:00,09:00,18:30,09:00,,,,,,,,0,0,3,58,61,,,인천광역시 서구 보도진로 49,126.653362,37.494759,,인천광역시 서구 보도진로 49,주사업장,㈜에이스랜트,3560000,인천광역시 서구
2019-05-31,02-501-5766,,,,,,,,18:00,09:00,,,,,,,0,0,0,0,25,25,,,서울특별시 동작구 사당동 318-12,126.987965,37.467123,,서울특별시 서초구 과천대로 840(방배동),주사업장,빌림,3210000,서울특별시 서초구
2019-08-30,032-563-4972,,,연중무휴,,,16:00,08:30,18:00,08:30,,,,,,,,0,0,3,32,35,,인천광역시 서구 경서동 997,인천광역시 서구 검단로459번길 4,126.652573617,37.5521567291,인천광역시 서구 경서동 346-6,인천광역시 서구 경명대로 398,주사업장,㈜행운렌트카,3560000,인천광역시 서구
2019-08-30,032-569-0082,,,"토,일",,,,,18:00,09:00,,,,,,,,0,0,17,168,185,,,"인천광역시 서구 봉수대로 1601, 1603",126.6399212,37.6138861,인천광역시 서구 금곡동 356-11,인천광역시 서구 봉수대로 1601,주사업장,장기렌트카(주),3560000,인천광역시 서구
2019-08-30,032-505-8311,,,일,,,15:00,09:00,19:00,09:00,,,,,,,,0,0,0,67,67,,,인천광역시 서구 검단로459번길 4,126.682006,37.482664,,인천광역시 서구 가좌동 295,주사업장,㈜세원렌트카,3560000,인천광역시 서구
2019-08-30,032-882-0106,,,일,,,19:00,09:00,19:00,09:00,,,,,,,,0,0,12,181,193,,,인천광역시 서구 건지로 186,126.662709,37.4985641,,인천광역시 서구 봉수대로 254-1,주사업장,㈜엔아이씨이새인천렌트카,3560000,인천광역시 서구
2019-08-30,032-1544-7194,,,일,,,15:00,08:00,18:00,08:00,,,,,,,,0,0,70,1,71,,,인천광역시 서구 보듬5로 5,126.673336,37.5585643,,"인천광역시 서구 승학로 414, 2층(검암동, 홍심빌딩)",주사업장,㈜제이에스밴,3560000,인천광역시 서구
2019-10-03,1566-0055,,,,,,,,18:00,09:00,,,,,,,,0,0,0,220,220,,,서울특별시 양천구 월정로 257,126.9822921008,37.5683727154,,서울특별시 중구 남대문로 125,주사업장,㈜디지비캐피탈,3010000,서울특별시 중구
2019-10-02,02-3141-2345,,,,,,,,18:00,09:00,,,,,,,,0,0,5,84,89,,,서울특별시 양천구 신월동 21-1,127.0056761477,37.5471680348,,서울특별시 중구 다산로 32,주사업장,브이아이피리모렌터카㈜,3010000,서울특별시 중구
2019-10-01,02-6456-2299,,,,,,,,18:00,09:00,,,,,,,,0,0,0,57,57,,,서울특별시 성북구 보문로 168,126.9737528146,37.5555048939,,서울특별시 중구 한강대로 416,주사업장,메르세데스벤츠모빌리티코리아㈜,3010000,서울특별시 중구
2019-09-30,1577-5822,,,,,,,,18:00,09:00,,,,,,,,0,0,0,1903,1903,,,서울특별시 송파구 법원로4길 17,126.9829327,37.5602013,,서울특별시 중구 퇴계로 100,주사업장,㈜비엠더블유파이낸셜서비스코리아,3010000,서울특별시 중구
2019-09-30,02-720-0300,,,,,,,,18:00,09:00,,,,,,,,0,0,25,281,306,,,서울특별시 강서구 마곡서로 101,126.9689803,37.5640199615,,서울특별시 중구 서소문로9길 41-10,주사업장,㈜제일렌트카,3010000,서울특별시 중구
2019-09-30,02-512-7926,,,,,,,,18:00,09:00,,,,,,,,0,0,4,434,438,,,서울특별시 광진구 자양로 120,127.0096258,37.5552085,,서울특별시 중구 동호로 195-7,주사업장,㈜대영렌트카,3010000,서울특별시 중구
2019-09-30,02-2254-2225,,,,,,,,18:00,09:00,,,,,,,,0,0,2,75,77,,,서울특별시 양천구 신정로 167,127.0077183,37.5515323549,,서울특별시 중구 다산로 77,주사업장,㈜렌트투어,3010000,서울특별시 중구
2019-09-30,02-2069-1124,,,,,,,,18:00,09:00,,,,,,,,0,0,22,89,111,,,서울특별시 강서구 마곡서로 101,126.9726726,37.5630153591,,서울특별시 중구 서소문로 103,주사업장,㈜성원렌트카,3010000,서울특별시 중구
2019-09-30,02-720-0339,,,,,,,,18:00,09:00,,,,,,,,0,0,6,89,95,,,서울특별시 영등포구 영등포로4가 123,126.9682129,37.5608194199,,서울특별시 중구 청파로 464,주사업장,㈜새한렌트카,3010000,서울특별시 중구
2019-09-30,02-579-0010,,,,,,,,18:00,09:00,,,,,,,,0,0,102,558,660,,,서울특별시 영등포동 영등포동4가 123,126.9689803,37.5640199615,,서울특별시 중구 서소문로9길 41-10,주사업장,㈜푸른솔관광,3010000,서울특별시 중구
2019-04-30,031-715-6611,,,,,,,,19:00,09:00,,,,,,,,0,0,5,26,31,40,경기도 성남시 분당구 수내동 9-4 현대오피스빌딩 초림주차장 2층,경기도 성남시 분당구  황새울로240번길 3,127.1115452,37.35080852,경기도 성남시 분당구 금곡동 150번지 미금파크빌딩 816호,경기도 성남시 분당구 성남대로 172번길24(금곡동) 미금파크빌딩 816호,주사업장,㈜카보스렌터카,3780000,경기도 성남시
2019-04-30,031-759-0500,,,,,,,,19:00,09:00,,,,,,,,0,0,6,45,51,51,경기도 성남시 분당구 판교로182-7 석란빌딩,경기도 성남시 분당구 판교로 182-7,127.1285767,37.43097235,경기도 성남시 중원구 성남동 4169번지 메트로 426호,"경기도 성남시 중원구 성남대로1133426호(성남동, 메트로)",주사업장,㈜진렌트카,3780000,경기도 성남시
2019-04-30,031-719-7254,,,,,,,,19:00,09:00,,,,,,,,0,0,0,50,50,50,"경기도 성남시 분당구 운중로277번길 45, 3∼4층",경기도 성남시 분당구 판교동 620,127.115214,37.38019603,경기도 성남시 분당구 수내동 9-3번지 2층,경기도 성남시 분당구 황새울로 246 2층,주사업장,㈜에스와이렌트카,3780000,경기도 성남시
2019-04-30,031-721-0570,,,,,,,,19:00,09:00,,,,,,,,0,0,6,52,58,58,"경기도 성남시 분당구 구미동 182, 5층",경기도 성남시 분당구 구미로9번길 25,127.1330467,37.44160836,경기도 성남시 수정구 태평동 3678번지 주민신협행복빌딩 402호,경기도 성남시 수정구 수정로 115-1 402호(태평동),주사업장,㈜신협우리들렌트카,3780000,경기도 성남시
2019-04-30,1577-8370,,,,,,,,19:00,09:00,,,,,,,,0,0,0,30,30,30,경기도 성남시 분당구 대왕판교로 606번길,경기도 성남시 분당구 대왕판교로 606번길,127.1070693,37.42124447,경기도 성남시 수정구 시흥동 40-4번지,경기도 성남시 수정구 여수대로56번길17,주사업장,㈜성일렌트카,3780000,경기도 성남시
2019-04-30,031-747-9575,,,,,,,,19:00,09:00,,,,,,,,0,0,2,52,54,54,경기도 성남시 수정구 신흥3동 2563,경기도 성남시 수정구 공원로339번길 17,127.1487326,37.44238292,경기도 성남시 수정구 신흥동 2563번지,경기도 성남시 수정구 공원로 339번길 17(신흥동),주사업장,㈜성남렌트카,3780000,경기도 성남시
2019-04-30,031-1234-2345,,,연중무휴,15:00,10:00,17:00,10:00,19:00,09:00,,,,,,,,0,0,2,48,50,50,경기도 성남시 분당구 구미동 182 (분당대맥주차빌딩),경기도 성남시 중원구 성남대로23,127.1294066,37.38025378,경기도 성남시 분당구 서현동 93번지 현대카스스포콤 508호,경기도 성남시 분당구 중앙공원로 40번길4 (서현동) 현대카스스포콤 508호,주사업장,㈜삼성통운,3780000,경기도 성남시
2019-04-30,1644-7301,,,,,,,,19:00,09:00,,,,,,,,0,0,1,60,61,61,경기도 성남시 수정구 수진동 4509 풍생레포츠주차장 50면,경기도 성남시 수정구 제일로109번길 13,127.105387,37.34403825,경기도 성남시 분당구 구미동 18번지 시그마타운 G동 107호,경기도 성남시 분당구 탄천상로164번지(구미동) 시그마타운 G-107,주사업장,㈜렌트114,3780000,경기도 성남시
2019-04-30,031-8016-9798,,,,,,,,19:00,09:00,,,,,,,,0,5,7,45,57,57,경기도 성남시 분당구 궁내동 360-9,경기도 성남시 분당구 궁내동 360-9,127.1009993,37.37822754,,"경기도 성남시 성남시 분당구 대왕판교로 385번길8, 2층",주사업장,㈜드림뷰렌트카,3780000,경기도 성남시
2019-04-30,031-709-0603,,,,,,,,19:00,09:00,,,,,,,,0,0,27,137,164,164,경기도 성남시 분당구 황새울로 240번길 3 현대오피스빌딩 초림주차장(지하2층),경기도 성남시 분당구 수내동 9-4,127.1281867,37.4108514,경기도 성남시 중원구 여수동 189번지 씨티오피스타워 901호,"경기도 성남시 중원구 양현로411, 901호 여수동,씨티오피스타워",주사업장,㈜동산렌트카,3780000,경기도 성남시
2019-04-30,031-754-5555,,,,,,,,19:00,09:00,,,,,,,,0,0,3,64,67,67,경기도 성남시 중원구 보통골로 14번길 8,경기도 성남시 중원구 상대원동 378-12,127.1807287,37.4347027,경기도 성남시 중원구 상대원동 378-12번지,경기도 성남시 중원구 보통골로 14번길 8,주사업장,㈜경진렌트카,3780000,경기도 성남시
